GEOID,NEGATIVE,POSITIVE,DEATHS,DATE
55025002800,24,0,0,2020/04/11 14:00:00+00
55025002900,32,0,0,2020/04/11 14:00:00+00
55025003001,34,5,0,2020/04/11 14:00:00+00
55025003002,43,0,0,2020/04/11 14:00:00+00
55025003100,59,0,0,2020/04/11 14:00:00+00
55025003200,14,0,0,2020/04/11 14:00:00+00
55025010100,37,0,0,2020/04/11 14:00:00+00
55025010200,18,0,0,2020/04/11 14:00:00+00
55025010300,47,0,0,2020/04/11 14:00:00+00
55025010400,33,0,0,2020/04/11 14:00:00+00
55025010501,38,0,0,2020/04/11 14:00:00+00
55025010502,84,0,0,2020/04/11 14:00:00+00
55025010600,39,0,0,2020/04/11 14:00:00+00
55025010701,50,0,0,2020/04/11 14:00:00+00
55025010702,71,0,0,2020/04/11 14:00:00+00
55025010800,120,0,0,2020/04/11 14:00:00+00
55025010901,97,5,0,2020/04/11 14:00:00+00
55025010903,41,0,0,2020/04/11 14:00:00+00
55025010904,90,9,0,2020/04/11 14:00:00+00
55025011000,50,0,0,2020/04/11 14:00:00+00
55025011101,54,0,0,2020/04/11 14:00:00+00
55025011102,112,9,0,2020/04/11 14:00:00+00
55025011200,104,8,0,2020/04/11 14:00:00+00
55025011301,79,6,0,2020/04/11 14:00:00+00
55025011302,34,9,0,2020/04/11 14:00:00+00
55025011401,90,8,0,2020/04/11 14:00:00+00
55025011402,111,10,0,2020/04/11 14:00:00+00
55025011503,65,0,0,2020/04/11 14:00:00+00
55025011504,40,0,0,2020/04/11 14:00:00+00
55025011505,47,0,0,2020/04/11 14:00:00+00
55025011506,68,0,0,2020/04/11 14:00:00+00
55025011600,66,0,0,2020/04/11 14:00:00+00
55025011700,35,0,0,2020/04/11 14:00:00+00
55025011800,40,0,0,2020/04/11 14:00:00+00
55025011900,55,0,0,2020/04/11 14:00:00+00
55025012001,97,0,0,2020/04/11 14:00:00+00
55025012002,28,0,0,2020/04/11 14:00:00+00
55025012100,18,0,0,2020/04/11 14:00:00+00
55025012201,18,0,0,2020/04/11 14:00:00+00
55025012202,64,6,0,2020/04/11 14:00:00+00
55025012300,30,8,0,2020/04/11 14:00:00+00
55025012400,41,0,0,2020/04/11 14:00:00+00
55025012501,54,0,0,2020/04/11 14:00:00+00
55025012502,48,0,0,2020/04/11 14:00:00+00
55025012600,46,0,0,2020/04/11 14:00:00+00
55025012700,34,0,0,2020/04/11 14:00:00+00
55025012800,72,7,0,2020/04/11 14:00:00+00
55025012900,30,0,0,2020/04/11 14:00:00+00
55025013000,33,0,0,2020/04/11 14:00:00+00
55025013100,47,0,0,2020/04/11 14:00:00+00
55025013200,114,9,0,2020/04/11 14:00:00+00
55025013301,41,6,0,2020/04/11 14:00:00+00
55025013302,59,0,0,2020/04/11 14:00:00+00
55025013700,57,0,0,2020/04/11 14:00:00+00
55025000100,36,0,0,2020/04/12 14:00:00+00
55025000201,30,0,0,2020/04/12 14:00:00+00
55025000202,19,0,0,2020/04/12 14:00:00+00
55025000204,59,0,0,2020/04/12 14:00:00+00
55025000205,49,6,0,2020/04/12 14:00:00+00
55025000300,81,0,0,2020/04/12 14:00:00+00
55025000401,38,0,0,2020/04/12 14:00:00+00
55025000402,23,0,0,2020/04/12 14:00:00+00
55025000405,62,0,0,2020/04/12 14:00:00+00
55025000406,35,0,0,2020/04/12 14:00:00+00
55025000407,66,5,0,2020/04/12 14:00:00+00
55025000408,38,6,0,2020/04/12 14:00:00+00
55025000501,53,0,0,2020/04/12 14:00:00+00
55025000503,75,7,0,2020/04/12 14:00:00+00
55025000504,62,0,0,2020/04/12 14:00:00+00
55025000600,53,7,0,2020/04/12 14:00:00+00
55025000700,50,0,0,2020/04/12 14:00:00+00
55025000800,38,8,0,2020/04/12 14:00:00+00
55025000901,18,0,0,2020/04/12 14:00:00+00
55025000902,62,0,0,2020/04/12 14:00:00+00
55025001000,33,0,0,2020/04/12 14:00:00+00
55025001101,13,0,0,2020/04/12 14:00:00+00
55025001102,0,0,0,2020/04/12 14:00:00+00
55025001200,69,0,0,2020/04/12 14:00:00+00
55025001300,28,0,0,2020/04/12 14:00:00+00
55025001401,62,0,0,2020/04/12 14:00:00+00
55025001402,57,0,0,2020/04/12 14:00:00+00
55025001403,98,0,0,2020/04/12 14:00:00+00
55025001501,21,0,0,2020/04/12 14:00:00+00
55025001502,66,5,0,2020/04/12 14:00:00+00
55025001603,13,8,0,2020/04/12 14:00:00+00
55025001604,13,0,0,2020/04/12 14:00:00+00
55025001605,22,0,0,2020/04/12 14:00:00+00
55025001606,11,0,0,2020/04/12 14:00:00+00
55025001704,36,0,0,2020/04/12 14:00:00+00
55025001705,43,0,0,2020/04/12 14:00:00+00
55025001802,22,0,0,2020/04/12 14:00:00+00
55025001804,49,0,0,2020/04/12 14:00:00+00
55025001900,86,5,0,2020/04/12 14:00:00+00
55025002000,61,0,0,2020/04/12 14:00:00+00
55025002100,63,6,0,2020/04/12 14:00:00+00
55025002200,50,0,0,2020/04/12 14:00:00+00
55025002301,33,0,0,2020/04/12 14:00:00+00
55025002302,90,0,0,2020/04/12 14:00:00+00
55025002401,21,0,0,2020/04/12 14:00:00+00
55025002402,46,0,0,2020/04/12 14:00:00+00
55025002500,30,0,0,2020/04/12 14:00:00+00
55025002601,16,0,0,2020/04/12 14:00:00+00
55025002602,53,0,0,2020/04/12 14:00:00+00
55025002603,73,0,0,2020/04/12 14:00:00+00
55025002700,39,0,0,2020/04/12 14:00:00+00
55025002800,24,0,0,2020/04/12 14:00:00+00
55025002900,32,0,0,2020/04/12 14:00:00+00
55025003001,38,6,0,2020/04/12 14:00:00+00
55025003002,45,0,0,2020/04/12 14:00:00+00
55025003100,60,0,0,2020/04/12 14:00:00+00
55025003200,15,0,0,2020/04/12 14:00:00+00
55025010100,37,0,0,2020/04/12 14:00:00+00
55025010200,17,0,0,2020/04/12 14:00:00+00
55025010300,47,0,0,2020/04/12 14:00:00+00
55025010400,33,0,0,2020/04/12 14:00:00+00
55025010501,38,0,0,2020/04/12 14:00:00+00
55025010502,87,0,0,2020/04/12 14:00:00+00
55025010600,41,0,0,2020/04/12 14:00:00+00
55025010701,50,0,0,2020/04/12 14:00:00+00
55025010702,73,0,0,2020/04/12 14:00:00+00
55025010800,124,0,0,2020/04/12 14:00:00+00
55025010901,101,5,0,2020/04/12 14:00:00+00
55025010903,41,0,0,2020/04/12 14:00:00+00
55025010904,93,9,0,2020/04/12 14:00:00+00
55025011000,52,0,0,2020/04/12 14:00:00+00
55025011101,55,0,0,2020/04/12 14:00:00+00
55025011102,113,9,0,2020/04/12 14:00:00+00
55025011200,105,8,0,2020/04/12 14:00:00+00
55025011301,80,6,0,2020/04/12 14:00:00+00
55025011302,36,8,0,2020/04/12 14:00:00+00
55025011401,91,8,0,2020/04/12 14:00:00+00
55025011402,113,10,0,2020/04/12 14:00:00+00
55025011503,69,0,0,2020/04/12 14:00:00+00
55025011504,41,0,0,2020/04/12 14:00:00+00
55025011505,49,0,0,2020/04/12 14:00:00+00
55025011506,70,0,0,2020/04/12 14:00:00+00
55025011600,67,0,0,2020/04/12 14:00:00+00
55025011700,35,0,0,2020/04/12 14:00:00+00
55025011800,40,0,0,2020/04/12 14:00:00+00
55025011900,56,0,0,2020/04/12 14:00:00+00
55025012001,99,0,0,2020/04/12 14:00:00+00
55025012002,30,0,0,2020/04/12 14:00:00+00
55025012100,18,0,0,2020/04/12 14:00:00+00
55025012201,17,0,0,2020/04/12 14:00:00+00
55025012202,65,6,0,2020/04/12 14:00:00+00
55025012300,31,8,0,2020/04/12 14:00:00+00
55025012400,43,0,0,2020/04/12 14:00:00+00
55025012501,55,0,0,2020/04/12 14:00:00+00
55025012502,48,0,0,2020/04/12 14:00:00+00
55025012600,46,0,0,2020/04/12 14:00:00+00
55025012700,36,0,0,2020/04/12 14:00:00+00
55025012800,73,7,0,2020/04/12 14:00:00+00
55025012900,32,0,0,2020/04/12 14:00:00+00
55025013000,34,0,0,2020/04/12 14:00:00+00
55025013100,48,0,0,2020/04/12 14:00:00+00
55025013200,118,9,0,2020/04/12 14:00:00+00
55025013301,43,7,0,2020/04/12 14:00:00+00
55025013302,61,0,0,2020/04/12 14:00:00+00
55025013700,58,0,0,2020/04/12 14:00:00+00
55025000100,37,0,0,2020/04/13 14:00:00+00
55025000201,30,0,0,2020/04/13 14:00:00+00
55025000202,21,0,0,2020/04/13 14:00:00+00
55025000204,59,0,0,2020/04/13 14:00:00+00
55025000205,52,6,0,2020/04/13 14:00:00+00
55025000300,81,0,0,2020/04/13 14:00:00+00
55025000401,38,0,0,2020/04/13 14:00:00+00
55025000402,23,0,0,2020/04/13 14:00:00+00
55025000405,63,0,0,2020/04/13 14:00:00+00
55025000406,35,0,0,2020/04/13 14:00:00+00
55025000407,67,5,0,2020/04/13 14:00:00+00
55025000408,38,6,0,2020/04/13 14:00:00+00
55025000501,55,0,0,2020/04/13 14:00:00+00
55025000503,75,7,0,2020/04/13 14:00:00+00
55025000504,67,0,0,2020/04/13 14:00:00+00
55025000600,54,7,0,2020/04/13 14:00:00+00
55025000700,52,0,0,2020/04/13 14:00:00+00
55025000800,39,8,0,2020/04/13 14:00:00+00
55025000901,18,0,0,2020/04/13 14:00:00+00
55025000902,62,0,0,2020/04/13 14:00:00+00
55025001000,33,0,0,2020/04/13 14:00:00+00
55025001101,14,0,0,2020/04/13 14:00:00+00
55025001102,0,0,0,2020/04/13 14:00:00+00
55025001200,70,0,0,2020/04/13 14:00:00+00
55025001300,30,0,0,2020/04/13 14:00:00+00
55025001401,63,0,0,2020/04/13 14:00:00+00
55025001402,57,0,0,2020/04/13 14:00:00+00
55025001403,99,0,0,2020/04/13 14:00:00+00
55025001501,21,0,0,2020/04/13 14:00:00+00
55025001502,68,5,0,2020/04/13 14:00:00+00
55025001603,13,8,0,2020/04/13 14:00:00+00
55025001604,13,0,0,2020/04/13 14:00:00+00
55025001605,23,0,0,2020/04/13 14:00:00+00
55025001606,12,0,0,2020/04/13 14:00:00+00
55025001704,38,0,0,2020/04/13 14:00:00+00
55025001705,44,0,0,2020/04/13 14:00:00+00
55025001802,23,0,0,2020/04/13 14:00:00+00
55025001804,50,0,0,2020/04/13 14:00:00+00
55025001900,87,5,0,2020/04/13 14:00:00+00
55025002000,63,0,0,2020/04/13 14:00:00+00
55025002100,65,6,0,2020/04/13 14:00:00+00
55025002200,50,0,0,2020/04/13 14:00:00+00
55025002301,33,0,0,2020/04/13 14:00:00+00
55025002302,93,0,0,2020/04/13 14:00:00+00
55025002401,21,0,0,2020/04/13 14:00:00+00
55025002402,46,0,0,2020/04/13 14:00:00+00
55025002500,30,0,0,2020/04/13 14:00:00+00
55025002601,17,0,0,2020/04/13 14:00:00+00
55025002602,55,0,0,2020/04/13 14:00:00+00
55025002603,74,0,0,2020/04/13 14:00:00+00
55025002700,41,0,0,2020/04/13 14:00:00+00
55025002800,24,0,0,2020/04/13 14:00:00+00
55025002900,32,0,0,2020/04/13 14:00:00+00
55025003001,38,6,0,2020/04/13 14:00:00+00
55025003002,46,0,0,2020/04/13 14:00:00+00
55025003100,62,5,0,2020/04/13 14:00:00+00
55025003200,15,0,0,2020/04/13 14:00:00+00
55025010100,39,0,0,2020/04/13 14:00:00+00
55025010200,18,0,0,2020/04/13 14:00:00+00
55025010300,47,0,0,2020/04/13 14:00:00+00
55025010400,33,0,0,2020/04/13 14:00:00+00
55025010501,38,0,0,2020/04/13 14:00:00+00
55025010502,88,0,0,2020/04/13 14:00:00+00
55025010600,41,0,0,2020/04/13 14:00:00+00
55025010701,52,0,0,2020/04/13 14:00:00+00
55025010702,75,0,0,2020/04/13 14:00:00+00
55025010800,127,0,0,2020/04/13 14:00:00+00
55025010901,103,5,0,2020/04/13 14:00:00+00
55025010903,41,0,0,2020/04/13 14:00:00+00
55025010904,93,9,0,2020/04/13 14:00:00+00
55025011000,55,0,0,2020/04/13 14:00:00+00
55025011101,57,0,0,2020/04/13 14:00:00+00
55025011102,115,9,0,2020/04/13 14:00:00+00
55025011200,110,8,0,2020/04/13 14:00:00+00
55025011301,80,6,0,2020/04/13 14:00:00+00
55025011302,36,8,0,2020/04/13 14:00:00+00
55025011401,94,8,0,2020/04/13 14:00:00+00
55025011402,116,11,0,2020/04/13 14:00:00+00
55025011503,72,0,0,2020/04/13 14:00:00+00
55025011504,41,0,0,2020/04/13 14:00:00+00
55025011505,49,0,0,2020/04/13 14:00:00+00
55025011506,73,0,0,2020/04/13 14:00:00+00
55025011600,69,0,0,2020/04/13 14:00:00+00
55025011700,35,0,0,2020/04/13 14:00:00+00
55025011800,40,0,0,2020/04/13 14:00:00+00
55025011900,59,0,0,2020/04/13 14:00:00+00
55025012001,99,0,0,2020/04/13 14:00:00+00
55025012002,30,0,0,2020/04/13 14:00:00+00
55025012100,18,0,0,2020/04/13 14:00:00+00
55025012201,18,0,0,2020/04/13 14:00:00+00
55025012202,65,6,0,2020/04/13 14:00:00+00
55025012300,31,8,0,2020/04/13 14:00:00+00
55025012400,43,0,0,2020/04/13 14:00:00+00
55025012501,55,0,0,2020/04/13 14:00:00+00
55025012502,48,0,0,2020/04/13 14:00:00+00
55025012600,48,0,0,2020/04/13 14:00:00+00
55025012700,36,0,0,2020/04/13 14:00:00+00
55025012800,73,8,0,2020/04/13 14:00:00+00
55025012900,33,0,0,2020/04/13 14:00:00+00
55025013000,36,0,0,2020/04/13 14:00:00+00
55025013100,50,0,0,2020/04/13 14:00:00+00
55025013200,120,10,0,2020/04/13 14:00:00+00
55025013301,44,7,0,2020/04/13 14:00:00+00
55025013302,61,0,0,2020/04/13 14:00:00+00
55025013700,59,0,0,2020/04/13 14:00:00+00
55025011600,70,0,0,2020/04/14 14:00:00+00
55025011700,36,0,0,2020/04/14 14:00:00+00
55025011800,40,0,0,2020/04/14 14:00:00+00
55025011900,59,0,0,2020/04/14 14:00:00+00
55025012001,100,0,0,2020/04/14 14:00:00+00
55025012002,31,0,0,2020/04/14 14:00:00+00
55025012100,19,0,0,2020/04/14 14:00:00+00
55025012201,18,0,0,2020/04/14 14:00:00+00
55025012202,66,6,0,2020/04/14 14:00:00+00
55025012300,32,8,0,2020/04/14 14:00:00+00
55025012400,43,0,0,2020/04/14 14:00:00+00
55025012501,55,0,0,2020/04/14 14:00:00+00
55025012502,48,0,0,2020/04/14 14:00:00+00
55025012600,48,0,0,2020/04/14 14:00:00+00
55025012700,36,0,0,2020/04/14 14:00:00+00
55025012800,74,8,0,2020/04/14 14:00:00+00
55025012900,33,0,0,2020/04/14 14:00:00+00
55025013000,39,0,0,2020/04/14 14:00:00+00
55025013100,51,0,0,2020/04/14 14:00:00+00
55025013200,121,10,0,2020/04/14 14:00:00+00
55025013301,45,7,0,2020/04/14 14:00:00+00
55025013302,62,0,0,2020/04/14 14:00:00+00
55025013700,60,0,0,2020/04/14 14:00:00+00
55025000100,37,0,0,2020/04/14 14:00:00+00
55025000201,30,0,0,2020/04/14 14:00:00+00
55025000202,22,0,0,2020/04/14 14:00:00+00
55025000204,61,0,0,2020/04/14 14:00:00+00
55025000205,52,6,0,2020/04/14 14:00:00+00
55025000300,81,0,0,2020/04/14 14:00:00+00
55025000401,38,0,0,2020/04/14 14:00:00+00
55025000402,23,0,0,2020/04/14 14:00:00+00
55025000405,66,0,0,2020/04/14 14:00:00+00
55025000406,35,0,0,2020/04/14 14:00:00+00
55025000407,67,5,0,2020/04/14 14:00:00+00
55025000408,40,6,0,2020/04/14 14:00:00+00
55025000501,55,0,0,2020/04/14 14:00:00+00
55025000503,78,7,0,2020/04/14 14:00:00+00
55025000504,70,0,0,2020/04/14 14:00:00+00
55025000600,55,7,0,2020/04/14 14:00:00+00
55025000700,52,0,0,2020/04/14 14:00:00+00
55025000800,39,8,0,2020/04/14 14:00:00+00
55025000901,19,0,0,2020/04/14 14:00:00+00
55025000902,62,0,0,2020/04/14 14:00:00+00
55025001000,34,0,0,2020/04/14 14:00:00+00
55025001101,14,0,0,2020/04/14 14:00:00+00
55025001102,0,0,0,2020/04/14 14:00:00+00
55025001200,72,0,0,2020/04/14 14:00:00+00
55025001300,31,0,0,2020/04/14 14:00:00+00
55025001401,64,5,0,2020/04/14 14:00:00+00
55025001402,59,0,0,2020/04/14 14:00:00+00
55025001403,101,0,0,2020/04/14 14:00:00+00
55025001501,21,0,0,2020/04/14 14:00:00+00
55025001502,69,5,0,2020/04/14 14:00:00+00
55025001603,13,8,0,2020/04/14 14:00:00+00
55025001604,13,0,0,2020/04/14 14:00:00+00
55025001605,23,0,0,2020/04/14 14:00:00+00
55025001606,12,0,0,2020/04/14 14:00:00+00
55025001704,38,0,0,2020/04/14 14:00:00+00
55025001705,44,0,0,2020/04/14 14:00:00+00
55025001802,23,0,0,2020/04/14 14:00:00+00
55025001804,50,0,0,2020/04/14 14:00:00+00
55025001900,90,5,0,2020/04/14 14:00:00+00
55025002000,65,0,0,2020/04/14 14:00:00+00
55025002100,65,6,0,2020/04/14 14:00:00+00
55025002200,50,0,0,2020/04/14 14:00:00+00
55025002301,34,0,0,2020/04/14 14:00:00+00
55025002302,96,0,0,2020/04/14 14:00:00+00
55025002401,22,0,0,2020/04/14 14:00:00+00
55025002402,47,0,0,2020/04/14 14:00:00+00
55025002500,31,0,0,2020/04/14 14:00:00+00
55025002601,18,0,0,2020/04/14 14:00:00+00
55025002602,55,0,0,2020/04/14 14:00:00+00
55025002603,76,0,0,2020/04/14 14:00:00+00
55025002700,42,0,0,2020/04/14 14:00:00+00
55025002800,24,0,0,2020/04/14 14:00:00+00
55025002900,32,0,0,2020/04/14 14:00:00+00
55025003001,38,6,0,2020/04/14 14:00:00+00
55025003002,46,0,0,2020/04/14 14:00:00+00
55025003100,65,5,0,2020/04/14 14:00:00+00
55025003200,16,0,0,2020/04/14 14:00:00+00
55025010100,39,0,0,2020/04/14 14:00:00+00
55025010200,18,0,0,2020/04/14 14:00:00+00
55025010300,47,0,0,2020/04/14 14:00:00+00
55025010400,33,0,0,2020/04/14 14:00:00+00
55025010501,38,0,0,2020/04/14 14:00:00+00
55025010502,88,0,0,2020/04/14 14:00:00+00
55025010600,43,0,0,2020/04/14 14:00:00+00
55025010701,54,0,0,2020/04/14 14:00:00+00
55025010702,76,0,0,2020/04/14 14:00:00+00
55025010800,129,0,0,2020/04/14 14:00:00+00
55025010901,103,5,0,2020/04/14 14:00:00+00
55025010903,41,0,0,2020/04/14 14:00:00+00
55025010904,96,9,0,2020/04/14 14:00:00+00
55025011000,55,0,0,2020/04/14 14:00:00+00
55025011101,58,0,0,2020/04/14 14:00:00+00
55025011102,116,9,0,2020/04/14 14:00:00+00
55025011200,112,8,0,2020/04/14 14:00:00+00
55025011301,82,6,0,2020/04/14 14:00:00+00
55025011302,36,8,0,2020/04/14 14:00:00+00
55025011401,98,8,0,2020/04/14 14:00:00+00
55025011402,120,11,0,2020/04/14 14:00:00+00
55025011503,73,0,0,2020/04/14 14:00:00+00
55025011504,41,0,0,2020/04/14 14:00:00+00
55025011505,49,0,0,2020/04/14 14:00:00+00
55025011506,74,0,0,2020/04/14 14:00:00+00
55025000100,37,0,0,2020/04/15 14:00:00+00
55025000201,31,0,0,2020/04/15 14:00:00+00
55025000202,23,0,0,2020/04/15 14:00:00+00
55025000204,63,0,0,2020/04/15 14:00:00+00
55025000205,53,6,0,2020/04/15 14:00:00+00
55025000300,84,0,0,2020/04/15 14:00:00+00
55025000401,39,0,0,2020/04/15 14:00:00+00
55025000402,23,0,0,2020/04/15 14:00:00+00
55025000405,66,0,0,2020/04/15 14:00:00+00
55025000406,36,0,0,2020/04/15 14:00:00+00
55025000407,68,5,0,2020/04/15 14:00:00+00
55025000408,41,6,0,2020/04/15 14:00:00+00
55025000501,56,0,0,2020/04/15 14:00:00+00
55025000503,79,7,0,2020/04/15 14:00:00+00
55025000504,72,0,0,2020/04/15 14:00:00+00
55025000600,55,7,0,2020/04/15 14:00:00+00
55025000700,54,0,0,2020/04/15 14:00:00+00
55025000800,40,8,0,2020/04/15 14:00:00+00
55025000901,20,0,0,2020/04/15 14:00:00+00
55025000902,62,0,0,2020/04/15 14:00:00+00
55025001000,35,0,0,2020/04/15 14:00:00+00
55025001101,14,0,0,2020/04/15 14:00:00+00
55025001102,0,0,0,2020/04/15 14:00:00+00
55025001200,72,0,0,2020/04/15 14:00:00+00
55025001300,31,0,0,2020/04/15 14:00:00+00
55025001401,66,5,0,2020/04/15 14:00:00+00
55025001402,59,0,0,2020/04/15 14:00:00+00
55025001403,104,0,0,2020/04/15 14:00:00+00
55025001501,21,0,0,2020/04/15 14:00:00+00
55025001502,70,5,0,2020/04/15 14:00:00+00
55025001603,14,7,0,2020/04/15 14:00:00+00
55025001604,13,0,0,2020/04/15 14:00:00+00
55025001605,23,0,0,2020/04/15 14:00:00+00
55025001606,14,0,0,2020/04/15 14:00:00+00
55025001704,39,0,0,2020/04/15 14:00:00+00
55025001705,45,0,0,2020/04/15 14:00:00+00
55025001802,23,0,0,2020/04/15 14:00:00+00
55025001804,50,0,0,2020/04/15 14:00:00+00
55025001900,90,5,0,2020/04/15 14:00:00+00
55025002000,65,0,0,2020/04/15 14:00:00+00
55025002100,66,6,0,2020/04/15 14:00:00+00
55025002200,51,0,0,2020/04/15 14:00:00+00
55025002301,35,0,0,2020/04/15 14:00:00+00
55025002302,96,0,0,2020/04/15 14:00:00+00
55025002401,22,0,0,2020/04/15 14:00:00+00
55025002402,49,0,0,2020/04/15 14:00:00+00
55025002500,31,0,0,2020/04/15 14:00:00+00
55025002601,19,0,0,2020/04/15 14:00:00+00
55025002602,59,5,0,2020/04/15 14:00:00+00
55025002603,79,0,0,2020/04/15 14:00:00+00
55025002700,43,0,0,2020/04/15 14:00:00+00
55025002800,24,0,0,2020/04/15 14:00:00+00
55025002900,33,0,0,2020/04/15 14:00:00+00
55025003001,38,7,0,2020/04/15 14:00:00+00
55025003002,47,0,0,2020/04/15 14:00:00+00
55025003100,67,5,0,2020/04/15 14:00:00+00
55025003200,16,0,0,2020/04/15 14:00:00+00
55025010100,41,0,0,2020/04/15 14:00:00+00
55025010200,18,0,0,2020/04/15 14:00:00+00
55025010300,47,0,0,2020/04/15 14:00:00+00
55025010400,33,0,0,2020/04/15 14:00:00+00
55025010501,38,0,0,2020/04/15 14:00:00+00
55025010502,89,0,0,2020/04/15 14:00:00+00
55025010600,45,0,0,2020/04/15 14:00:00+00
55025010701,55,0,0,2020/04/15 14:00:00+00
55025010702,80,0,0,2020/04/15 14:00:00+00
55025010800,133,0,0,2020/04/15 14:00:00+00
55025010901,104,5,0,2020/04/15 14:00:00+00
55025010903,41,0,0,2020/04/15 14:00:00+00
55025010904,96,9,0,2020/04/15 14:00:00+00
55025011000,55,0,0,2020/04/15 14:00:00+00
55025011101,59,0,0,2020/04/15 14:00:00+00
55025011102,117,9,0,2020/04/15 14:00:00+00
55025011200,113,8,0,2020/04/15 14:00:00+00
55025011301,82,6,0,2020/04/15 14:00:00+00
55025011302,36,8,0,2020/04/15 14:00:00+00
55025011401,103,8,0,2020/04/15 14:00:00+00
55025011402,126,12,0,2020/04/15 14:00:00+00
55025011503,74,0,0,2020/04/15 14:00:00+00
55025011504,42,0,0,2020/04/15 14:00:00+00
55025011505,53,0,0,2020/04/15 14:00:00+00
55025011506,75,0,0,2020/04/15 14:00:00+00
55025011600,72,0,0,2020/04/15 14:00:00+00
55025011700,36,0,0,2020/04/15 14:00:00+00
55025011800,41,0,0,2020/04/15 14:00:00+00
55025011900,64,0,0,2020/04/15 14:00:00+00
55025012001,102,0,0,2020/04/15 14:00:00+00
55025012002,32,0,0,2020/04/15 14:00:00+00
55025012100,20,0,0,2020/04/15 14:00:00+00
55025012201,18,0,0,2020/04/15 14:00:00+00
55025012202,67,6,0,2020/04/15 14:00:00+00
55025012300,33,8,0,2020/04/15 14:00:00+00
55025012400,44,0,0,2020/04/15 14:00:00+00
55025012501,56,0,0,2020/04/15 14:00:00+00
55025012502,49,0,0,2020/04/15 14:00:00+00
55025012600,48,0,0,2020/04/15 14:00:00+00
55025012700,39,0,0,2020/04/15 14:00:00+00
55025012800,77,8,0,2020/04/15 14:00:00+00
55025012900,34,0,0,2020/04/15 14:00:00+00
55025013000,40,0,0,2020/04/15 14:00:00+00
55025013100,52,0,0,2020/04/15 14:00:00+00
55025013200,123,10,0,2020/04/15 14:00:00+00
55025013301,46,7,0,2020/04/15 14:00:00+00
55025013302,67,0,0,2020/04/15 14:00:00+00
55025013700,62,0,0,2020/04/15 14:00:00+00
55025000100,39,0,0,2020/04/16 14:00:00+00
55025000201,32,0,0,2020/04/16 14:00:00+00
55025000202,26,0,0,2020/04/16 14:00:00+00
55025000204,66,0,0,2020/04/16 14:00:00+00
55025000205,53,6,0,2020/04/16 14:00:00+00
55025000300,84,0,0,2020/04/16 14:00:00+00
55025000401,39,0,0,2020/04/16 14:00:00+00
55025000402,25,0,0,2020/04/16 14:00:00+00
55025000405,67,0,0,2020/04/16 14:00:00+00
55025000406,36,0,0,2020/04/16 14:00:00+00
55025000407,70,5,0,2020/04/16 14:00:00+00
