ct,StateFIPS,CountyFIPS,TractCode,State,County,area
55079015800,55,079,015800,WI,Milwaukee County,0.42863190717
55079015900,55,079,015900,WI,Milwaukee County,0.47150857090
55079016000,55,079,016000,WI,Milwaukee County,0.39550096748
55079016100,55,079,016100,WI,Milwaukee County,0.59426652054
55079016200,55,079,016200,WI,Milwaukee County,0.46387417239
55079016300,55,079,016300,WI,Milwaukee County,0.56099874704
55079016400,55,079,016400,WI,Milwaukee County,0.46540883831
55079016500,55,079,016500,WI,Milwaukee County,1.14609232448
55079016600,55,079,016600,WI,Milwaukee County,0.63851294026
55079016700,55,079,016700,WI,Milwaukee County,0.48617550355
55079016800,55,079,016800,WI,Milwaukee County,0.52616817907
55079016900,55,079,016900,WI,Milwaukee County,0.47761618127
55079017000,55,079,017000,WI,Milwaukee County,0.70565940986
55079017100,55,079,017100,WI,Milwaukee County,0.67863529016
55079017200,55,079,017200,WI,Milwaukee County,0.48823227812
55079017300,55,079,017300,WI,Milwaukee County,0.51100570342
55079017400,55,079,017400,WI,Milwaukee County,0.32653895967
55079017500,55,079,017500,WI,Milwaukee County,0.48863477588
55079017600,55,079,017600,WI,Milwaukee County,0.47158685779
55079017900,55,079,017900,WI,Milwaukee County,0.61306840354
55079018000,55,079,018000,WI,Milwaukee County,4.79387031311
55079018100,55,079,018100,WI,Milwaukee County,1.17320964094
55079018200,55,079,018200,WI,Milwaukee County,1.91560289346
55079018300,55,079,018300,WI,Milwaukee County,0.67243245692
55079018400,55,079,018400,WI,Milwaukee County,0.73097924467
55079018500,55,079,018500,WI,Milwaukee County,1.87611822505
55079018600,55,079,018600,WI,Milwaukee County,0.47833986691
55079018700,55,079,018700,WI,Milwaukee County,0.48965865658
55079018800,55,079,018800,WI,Milwaukee County,0.93263040777
55079018900,55,079,018900,WI,Milwaukee County,0.62004909040
55079019000,55,079,019000,WI,Milwaukee County,2.49940802367
55079019100,55,079,019100,WI,Milwaukee County,1.56518020708
55079019200,55,079,019200,WI,Milwaukee County,1.42388060354
55079019300,55,079,019300,WI,Milwaukee County,0.88459455646
55079019400,55,079,019400,WI,Milwaukee County,1.30230445792
55079019500,55,079,019500,WI,Milwaukee County,1.30657444079
55079019600,55,079,019600,WI,Milwaukee County,1.30316576969
55079019700,55,079,019700,WI,Milwaukee County,1.88275248470
55079019800,55,079,019800,WI,Milwaukee County,2.06229713905
55079019900,55,079,019900,WI,Milwaukee County,1.56111504107
55079020000,55,079,020000,WI,Milwaukee County,1.40682369026
55079020100,55,079,020100,WI,Milwaukee County,1.90136773331
55079020200,55,079,020200,WI,Milwaukee County,0.94981351722
55079020300,55,079,020300,WI,Milwaukee County,1.45096088004
55079020400,55,079,020400,WI,Milwaukee County,0.48909993334
55079020500,55,079,020500,WI,Milwaukee County,0.47766625007
55079020600,55,079,020600,WI,Milwaukee County,1.32633349061
55079020700,55,079,020700,WI,Milwaukee County,1.77765300190
55079020800,55,079,020800,WI,Milwaukee County,1.11004510775
55079020900,55,079,020900,WI,Milwaukee County,1.01169002036
55079021000,55,079,021000,WI,Milwaukee County,1.28608941475
55079021100,55,079,021100,WI,Milwaukee County,0.64234630735
55079021200,55,079,021200,WI,Milwaukee County,1.93738400899
55079021300,55,079,021300,WI,Milwaukee County,1.26602465914
55079021400,55,079,021400,WI,Milwaukee County,1.28296692848
55079021500,55,079,021500,WI,Milwaukee County,1.29102367802
55079021600,55,079,021600,WI,Milwaukee County,3.70026963858
55079021700,55,079,021700,WI,Milwaukee County,12.77311253350
55079021800,55,079,021800,WI,Milwaukee County,0.87373422533
55079030100,55,079,030100,WI,Milwaukee County,7.27977972821
55079035100,55,079,035100,WI,Milwaukee County,5.66080344892
55079035200,55,079,035200,WI,Milwaukee County,3.86364247610
55079040100,55,079,040100,WI,Milwaukee County,13.80389824560
55079050101,55,079,050101,WI,Milwaukee County,4.90310643755
55079050102,55,079,050102,WI,Milwaukee County,6.48986161862
55079060101,55,079,060101,WI,Milwaukee County,4.36729599963
55079060102,55,079,060102,WI,Milwaukee County,3.02485362685
55079060200,55,079,060200,WI,Milwaukee County,8.05883663323
55079070100,55,079,070100,WI,Milwaukee County,1.60968394960
55079070200,55,079,070200,WI,Milwaukee County,4.65223432242
55079070300,55,079,070300,WI,Milwaukee County,1.28065453731
55079080100,55,079,080100,WI,Milwaukee County,0.99699995285
55079080200,55,079,080200,WI,Milwaukee County,0.88374059976
55079080300,55,079,080300,WI,Milwaukee County,2.43919999151
55079080400,55,079,080400,WI,Milwaukee County,0.74764130281
55079090100,55,079,090100,WI,Milwaukee County,4.51560451701
55079090200,55,079,090200,WI,Milwaukee County,3.82699753702
55079090300,55,079,090300,WI,Milwaukee County,4.02482787320
55079090600,55,079,090600,WI,Milwaukee County,3.07431843372
55079090700,55,079,090700,WI,Milwaukee County,1.80411950253
55079090800,55,079,090800,WI,Milwaukee County,0.78698551119
55079090900,55,079,090900,WI,Milwaukee County,1.22844461623
55079091000,55,079,091000,WI,Milwaukee County,1.10393042056
55079091100,55,079,091100,WI,Milwaukee County,1.72176990801
